Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,symbol
2025-12-28,516.06,522.0,510.38,511.88,46308.182,2025-12-28 23:59:59.999,23921046.32906,73852,23061.521,11915976.03145,0,ZECUSDT
2025-09-20,238.53,241.22,236.91,239.48,1550489.215,2025-09-20 23:59:59.999,370629858.97415,954135,799562.064,191188408.81704,0,SOLUSDT
2025-09-21,239.48,241.82,235.32,236.16,1392437.976,2025-09-21 23:59:59.999,332349583.59001,1012982,648385.27,154795187.04847,0,SOLUSDT
2025-09-22,236.16,236.96,214.5,220.38,5836593.703,2025-09-22 23:59:59.999,1306702324.90479,2962747,2900078.07,649181089.12863,0,SOLUSDT
2025-09-23,220.39,221.71,212.34,213.3,3448908.468,2025-09-23 23:59:59.999,749395007.6961901,2084709,1671872.261,363770999.28327,0,SOLUSDT
2025-09-24,213.29,216.45,204.81,211.6,4427457.526,2025-09-24 23:59:59.999,934723852.95988,2319661,2344079.993,494768221.32258,0,SOLUSDT
2025-09-25,211.61,212.44,191.32,192.74,6761257.291,2025-09-25 23:59:59.999,1356874816.64603,3572335,3075520.35,618287017.91409,0,SOLUSDT
2025-09-26,192.73,205.52,190.8,205.17,5623202.874,2025-09-26 23:59:59.999,1107437559.64762,2949417,3032346.863,597863232.69546,0,SOLUSDT
2025-09-27,205.16,205.43,199.88,203.46,2104933.415,2025-09-27 23:59:59.999,426788361.48016,1142963,1053845.652,213666396.18808,0,SOLUSDT
2025-09-28,203.47,211.0,198.0,210.83,2194260.074,2025-09-28 23:59:59.999,447175240.70321,1301607,1169507.196,238733076.79628,0,SOLUSDT
2025-09-29,210.83,214.74,204.58,212.75,3213098.851,2025-09-29 23:59:59.999,674793150.7918,1908731,1700434.727,357305588.43003,0,SOLUSDT
2025-09-30,212.74,213.67,204.29,208.68,3264781.485,2025-09-30 23:59:59.999,679647220.11924,1922286,1629038.204,338974705.59483,0,SOLUSDT
2025-10-01,208.68,222.77,206.31,222.04,4050260.921,2025-10-01 23:59:59.999,873666054.9836899,2119007,2112500.76,455862509.31609,0,SOLUSDT
2025-10-02,222.04,234.99,219.52,234.74,4590696.388,2025-10-02 23:59:59.999,1041743948.15148,2550516,2430897.772,552207693.25385,0,SOLUSDT
2025-10-03,234.74,237.0,227.13,232.84,4216611.614,2025-10-03 23:59:59.999,977118748.0920099,2632758,1989446.56,461370463.20301,0,SOLUSDT
2025-10-04,232.84,234.05,224.07,227.86,1841410.605,2025-10-04 23:59:59.999,420089668.09435,1292594,848007.567,193529628.25844,0,SOLUSDT
2025-10-05,227.86,237.22,226.45,228.56,3099633.526,2025-10-05 23:59:59.999,718004023.22144,2035300,1591307.851,368654749.8226,0,SOLUSDT
2025-10-06,228.56,237.79,227.55,232.35,2981928.375,2025-10-06 23:59:59.999,696237930.30736,2186112,1415486.181,330542794.7619,0,SOLUSDT
2025-10-07,232.35,235.21,219.7,219.97,4401045.757,2025-10-07 23:59:59.999,999073406.40618,2553696,1883971.589,427720717.77175,0,SOLUSDT
2025-10-08,219.98,229.72,217.3,229.02,3103760.645,2025-10-08 23:59:59.999,692169444.64124,2154720,1521159.511,339467389.20357,0,SOLUSDT
2025-10-09,229.03,229.69,216.53,220.93,3272953.431,2025-10-09 23:59:59.999,728443051.98444,2359051,1555362.983,346194074.20143,0,SOLUSDT
2025-10-10,220.93,224.46,168.79,188.43,9622835.429,2025-10-10 23:59:59.999,1933764147.70444,5852243,4390741.937,881580460.6615299,0,SOLUSDT
2025-10-11,188.43,191.05,172.58,177.62,7292387.248,2025-10-11 23:59:59.999,1336674581.83677,6001725,3467397.907,636071998.87581,0,SOLUSDT
2025-10-12,177.63,199.0,173.0,197.0,6486999.721,2025-10-12 23:59:59.999,1212033480.30209,4248027,3425894.129,640165160.3426,0,SOLUSDT
2025-10-13,196.99,209.28,190.02,208.69,6253161.511,2025-10-13 23:59:59.999,1243650930.49898,3592866,3232556.962,643354981.6331,0,SOLUSDT
2025-10-14,208.69,211.25,191.03,202.44,7349167.875,2025-10-14 23:59:59.999,1468181584.29201,4266429,3571738.91,713281510.99216,0,SOLUSDT
2025-10-15,202.45,208.91,192.04,193.84,5369155.439,2025-10-15 23:59:59.999,1077459951.2918,3462246,2559191.371,514572709.50025,0,SOLUSDT
2025-10-16,193.84,198.42,182.03,184.85,5404640.663,2025-10-16 23:59:59.999,1031907451.9011,3984585,2588038.907,494416382.76595,0,SOLUSDT
2025-10-17,184.84,187.55,174.06,181.96,6102908.877,2025-10-17 23:59:59.999,1105131379.71511,4990043,3079631.799,557987347.00983,0,SOLUSDT
2025-10-18,181.97,188.26,181.75,187.56,2105841.095,2025-10-18 23:59:59.999,390464630.80473,1671152,1082763.1,200835932.80495,0,SOLUSDT
2025-10-19,187.55,192.29,183.19,187.86,2483964.6,2025-10-19 23:59:59.999,467903351.76606,1924138,1248476.869,235316481.68095,0,SOLUSDT
2025-10-20,187.86,194.5,183.82,189.71,3178001.499,2025-10-20 23:59:59.999,603125239.27637,2433576,1619222.027,307159843.30883,0,SOLUSDT
2025-10-21,189.71,197.71,182.72,185.63,4651082.621,2025-10-21 23:59:59.999,882667767.13181,2993729,2158522.061,410075309.05155,0,SOLUSDT
2025-10-22,185.62,187.45,177.04,180.12,3977004.715,2025-10-22 23:59:59.999,728436136.60218,2949085,1937463.518,355264696.81051,0,SOLUSDT
2025-10-23,180.13,193.45,179.68,191.35,3501959.115,2025-10-23 23:59:59.999,660476128.42061,2124848,1737067.652,327534397.49002,0,SOLUSDT
2025-10-24,191.36,197.0,188.83,193.59,3356762.626,2025-10-24 23:59:59.999,645504079.80877,1753520,1673206.915,321991930.24826,0,SOLUSDT
2025-10-25,193.58,195.25,191.19,193.84,1626838.938,2025-10-25 23:59:59.999,314665640.87631,874157,759627.35,146905395.87584,0,SOLUSDT
2025-10-26,193.84,202.43,191.9,200.03,2577750.13,2025-10-26 23:59:59.999,509121280.43437,1351806,1288235.909,254676175.88971,0,SOLUSDT
2025-10-27,200.03,205.33,197.34,198.7,3515609.387,2025-10-27 23:59:59.999,708336575.4123,2185287,1655177.051,333516439.74457,0,SOLUSDT
2025-10-28,198.71,203.99,190.22,194.15,4329169.961,2025-10-28 23:59:59.999,859454239.36776,2719480,2062269.032,409836950.39202,0,SOLUSDT
2025-10-29,194.16,201.7,189.37,193.88,4620887.829,2025-10-29 23:59:59.999,904296220.3726301,3083485,2104961.981,412094062.62182,0,SOLUSDT
2025-10-30,193.89,198.19,178.65,184.69,5054538.263,2025-10-30 23:59:59.999,951567373.3704499,3681828,2375165.65,447162989.26868,0,SOLUSDT
2025-10-31,184.69,190.26,183.7,187.21,3193393.84,2025-10-31 23:59:59.999,595975738.67529,2136994,1676919.623,313116141.94499,0,SOLUSDT
2025-11-01,187.21,187.55,183.79,186.35,1484505.22,2025-11-01 23:59:59.999,276116739.23029,977810,737045.793,137067318.94969,0,SOLUSDT
2025-11-02,186.35,188.34,182.0,187.71,1761297.557,2025-11-02 23:59:59.999,326634314.33352,1245796,887277.837,164646160.44819,0,SOLUSDT
2025-11-03,187.71,189.13,163.15,166.06,7327613.063,2025-11-03 23:59:59.999,1264049328.01724,3910583,3337771.152,575999147.169,0,SOLUSDT
2025-11-04,166.06,168.42,145.85,155.03,8288577.565,2025-11-04 23:59:59.999,1304788600.2289,5573905,4105832.682,647241823.65151,0,SOLUSDT
2025-11-05,155.04,163.97,147.29,162.37,4650531.688,2025-11-05 23:59:59.999,731570306.64341,3444083,2395791.521,377263431.01647,0,SOLUSDT
2025-11-06,162.37,162.91,153.45,155.28,3576753.327,2025-11-06 23:59:59.999,566130762.86118,2732485,1700925.871,269316674.68073,0,SOLUSDT
2025-11-07,155.27,164.48,149.82,161.79,4213077.972,2025-11-07 23:59:59.999,661451643.57886,3662708,2180968.092,342240397.26796,0,SOLUSDT
2025-11-08,161.8,164.89,155.8,158.02,2502927.24,2025-11-08 23:59:59.999,399996303.16123,1841390,1156642.546,184916260.77013,0,SOLUSDT
2025-11-09,158.01,166.57,155.11,164.53,3231789.575,2025-11-09 23:59:59.999,520708062.09549,1970862,1726815.379,278546109.88247,0,SOLUSDT
2025-11-10,164.53,170.48,163.42,167.31,3628961.126,2025-11-10 23:59:59.999,607111109.27836,2502580,1661117.365,278070013.25858,0,SOLUSDT
2025-11-11,167.31,171.94,153.93,154.63,4702104.213,2025-11-11 23:59:59.999,766449925.55292,2677284,2103700.289,343312638.75657,0,SOLUSDT
2025-11-12,154.63,161.14,151.2,153.42,4139205.467,2025-11-12 23:59:59.999,645568636.5188,2512619,1891356.677,294919770.80986,0,SOLUSDT
2025-11-13,153.43,157.2,141.04,144.73,5418189.697,2025-11-13 23:59:59.999,812546000.9132301,3262498,2669826.268,400356743.08084,0,SOLUSDT
2025-11-14,144.74,145.68,135.76,138.92,6176425.147,2025-11-14 23:59:59.999,871175641.3312,4481602,2954405.845,416674101.98472,0,SOLUSDT
2025-11-15,138.93,144.69,138.61,139.61,2351478.022,2025-11-15 23:59:59.999,332993047.78325,1548121,1215575.886,172119986.6611,0,SOLUSDT
2025-11-16,139.6,143.38,134.42,137.17,3385434.284,2025-11-16 23:59:59.999,468359686.65837,2470289,1619328.951,224201649.45952,0,SOLUSDT
2025-11-17,137.17,143.28,128.82,130.99,5624720.775,2025-11-17 23:59:59.999,766512711.1086301,3486901,2856236.362,389196967.05988,0,SOLUSDT
2025-11-18,131.0,142.17,129.0,140.69,5528848.81,2025-11-18 23:59:59.999,757005300.5472,3294195,2878693.819,394426803.9391,0,SOLUSDT
2025-11-19,140.68,142.84,130.53,137.06,4268467.044,2025-11-19 23:59:59.999,583711754.9035,2768770,2025649.553,277083447.06079,0,SOLUSDT
2025-11-20,137.06,144.8,131.11,133.67,7048254.224,2025-11-20 23:59:59.999,972668410.7962701,3544605,3512012.724,484199926.05163,0,SOLUSDT
2025-11-21,133.67,135.06,121.66,128.68,8285885.693,2025-11-21 23:59:59.999,1059214775.74427,5098676,3956809.2,505744622.0727,0,SOLUSDT
2025-11-22,128.69,129.94,125.08,127.59,2612487.859,2025-11-22 23:59:59.999,332301149.10065,1893811,1347120.481,171366016.03107,0,SOLUSDT
2025-11-23,127.6,133.54,127.56,130.58,2818715.19,2025-11-23 23:59:59.999,368727256.45107,1686146,1506627.689,197175782.38814,0,SOLUSDT
2025-11-24,130.58,139.87,128.44,138.44,4744857.046,2025-11-24 23:59:59.999,632869856.70086,2659938,2276135.295,303450523.8922,0,SOLUSDT
2025-11-25,138.43,140.5,133.13,138.96,2994819.853,2025-11-25 23:59:59.999,409226323.33044,2110444,1420037.017,194241801.42398,0,SOLUSDT
2025-11-26,138.96,144.75,135.5,143.02,4021862.67,2025-11-26 23:59:59.999,562094537.22552,2100192,1886595.624,263450272.31572,0,SOLUSDT
